,Year,#Bat,BatAge,R/G,G,PA,AB,R,H,1B,2B,3B,HR,RBI,SB,BB,SO,BA,OBP,SLG,OPS,TB,HBP,SH,BIP
21,2002,1101,29.2,4.62,38.46145919208574,186615,165582,0.1200760924898856,0.23187846636122497,0.15321383597245666,0.046620046620046623,0.004935294590467004,0.027109289178254694,0.114310210861935,0.014736221632773357,0.08705623878037672,0.16822870615974064,0.261,0.331,0.417,0.748,0.3696969696969697,0.00935616108029901,0.008750636336843233,0.6994507408300512
22,2001,1137,29.2,4.78,38.48826677645121,186976,166234,0.12407474756118432,0.23467717781961323,0.1533886702036625,0.04713439157966798,0.0049632038336470995,0.029190912202635633,0.11813280848879,0.016595712818757487,0.08453491357179531,0.17330566489816876,0.264,0.332,0.427,0.759,0.37931071367448227,0.01010824918706144,0.008594685948998803,0.6941853499914428
23,2000,1132,29.1,5.14,39.16447097571017,190261,167290,0.13124602519696627,0.23781016603507812,0.15610135550638335,0.04678310321085246,0.005003652876837608,0.029922054441004726,0.12474968595771073,0.015368362407429793,0.09585253940639438,0.16480518866189078,0.27,0.345,0.437,0.782,0.38436673832261997,0.008267590310152895,0.008556666894423975,0.6924960974661123
24,1999,1116,28.9,5.08,39.06342668863262,189692,167137,0.13016363367985997,0.23895050924656813,0.15882588617337579,0.04607468949665774,0.004907956055078759,0.029141977521455833,0.12367943824726399,0.01803449802838285,0.09431604917445122,0.16405014444467875,0.271,0.345,0.434,0.778,0.38226704341775086,0.008324019990300066,0.00845581258039348,0.6956223773274571
25,1998,1097,28.9,4.79,38.70888157894737,188280,167116,0.12373592521776078,0.23629169322285956,0.15819524113023156,0.04642553643509666,0.004774803484172509,0.026896112173358827,0.11727214786488209,0.017442107499468878,0.08735394093902699,0.16939133205863607,0.266,0.335,0.42,0.755,0.3729551731463777,0.0084289356277884,0.009055661780327172,0.6987518589335033
26,1997,1051,28.9,4.77,38.73411297440423,175543,155438,0.12306956130406795,0.23624411112946686,0.15918606837071259,0.045595666019152,0.005030106583572116,0.026432270156030148,0.1165982124037985,0.018844385706066318,0.08924309143628627,0.17053941199592124,0.267,0.337,0.419,0.756,0.37119680078385353,0.008254387813812,0.008983553887081797,0.6963763864124459
27,1996,905,28.8,5.04,39.096382884869875,177263,156801,0.12879732375058528,0.23874130529213655,0.16086831431263152,0.04505734417221868,0.004823341588487163,0.027992305218799186,0.12168360007446563,0.01827228468433909,0.09078600723219171,0.16533625178407224,0.27,0.34,0.427,0.767,0.3774222482977271,0.007920434608463131,0.00871022153523296,0.6991363115822253
28,1995,901,28.6,4.85,38.84581060981656,156704,138571,0.12478303042679191,0.23595441086379415,0.16025117418827853,0.04440218501123137,0.005258321421278334,0.02604273024300592,0.11764856034306719,0.018716816418215234,0.09087196242597509,0.16224857055340003,0.267,0.338,0.417,0.755,0.36900142944659997,0.007778997345313457,0.009495609556871554,0.703479170920972
29,1994,782,28.7,4.92,38.9009375,124483,110266,0.12653936682117237,0.2389322236771286,0.16076090711181446,0.045974149080597354,0.005639324245077641,0.026557843239639146,0.11935766329538973,0.018139022999124378,0.08941783215378807,0.1587847336584112,0.27,0.339,0.424,0.763,0.37585855096679865,0.007037105468216544,0.009696103082348594,0.7084180169179727
30,1993,900,28.4,4.6,38.46716615249009,174564,154995,0.11952063426594257,0.23537499140716298,0.16423202951353086,0.04267202859696157,0.00538484452693568,0.02308608876973488,0.11225682271258679,0.018692284778075663,0.08655851149148737,0.15071836117412524,0.265,0.332,0.403,0.736,0.35807497536720057,0.006874269608854059,0.01037441855136225,0.7222852363603034
31,1992,806,28.4,4.12,38.11609686609687,160545,142895,0.10801332959606341,0.2276246535239341,0.16255878414151795,0.040879504188856705,0.0052633218100844,0.018923043383475037,0.1014170481796381,0.020330748388302344,0.08522221184091687,0.14661309913108475,0.256,0.322,0.377,0.7,0.3357999314833847,0.006104207543056464,0.010370924039988788,0.7325858793484693
32,1991,816,28.4,4.31,38.20009505703422,160746,142968,0.11276796934293855,0.22742712104811316,0.16038968310253443,0.04043024398740871,0.0055615691836810865,0.021045624774488944,0.10605551615592301,0.019409503191370237,0.08699438866285941,0.15173005860176925,0.256,0.323,0.385,0.708,0.34211737772635087,0.005630000124419892,0.010102895250892713,0.7243974966717679
33,1990,809,28.4,4.26,38.079809976247034,160316,142768,0.1117729983283016,0.22965268594525812,0.16285960228548615,0.040707103470645475,0.005395593702437686,0.020690386486688788,0.10481798448065072,0.020521969111005765,0.0864043514059732,0.14878739489508222,0.258,0.325,0.385,0.71,0.34322213628084536,0.005370642980114275,0.00972454402554954,0.7289291149978792
34,1989,797,28.5,4.13,37.99453941120608,160033,142821,0.10875881849368568,0.22678447570188648,0.16268519617828822,0.039410621559303395,0.005423881324476827,0.019264776639818036,0.10141033411858805,0.01947098410952741,0.08453256515843607,0.14778201995838358,0.254,0.32,0.375,0.695,0.33483718982959765,0.005005217673854767,0.010160404416589079,0.7331487880624621
35,1988,769,28.3,4.14,37.94761904761905,159380,142568,0.1090475592922575,0.22740619902120718,0.16211569833103276,0.04006776257999749,0.005270422888693688,0.019952315221483247,0.1017630819425273,0.020711507089973647,0.08146567950809386,0.14653657924457272,0.254,0.318,0.378,0.696,0.3378717530430418,0.005759819299786673,0.010227130129250847,0.7359643619023717
36,1987,796,28.3,4.72,38.46128266033254,161922,144095,0.12279369078939242,0.23403243537011648,0.15901483430293598,0.041952298020034334,0.00553352848902558,0.027531774558120576,0.11556798952582108,0.022140289769148107,0.08886377391583603,0.15500673163621992,0.263,0.331,0.415,0.747,0.36964711404256373,0.005200034584553056,0.00898580798162078,0.7142204271192303
37,1986,771,28.7,4.41,38.24488825487399,160858,143106,0.11528801800345646,0.22927053674669584,0.15977445946113963,0.04047669372987355,0.0053152469880267065,0.023704136567655944,0.10814507205112583,0.020589588332566612,0.08844446654813562,0.15358887963296822,0.258,0.326,0.395,0.721,0.35149013415559066,0.005047930472839399,0.009418244662994691,0.7196533588630967
38,1985,750,28.8,4.33,38.1169757489301,160320,143075,0.11362275449101797,0.22940369261477045,0.16085329341317364,0.04006362275449102,0.006019211576846308,0.02246756487025948,0.10684256487025948,0.019317614770459082,0.08631487025948104,0.1400386726546906,0.257,0.323,0.391,0.714,0.34890843313373254,0.00436002994011976,0.009661926147704591,0.737063373253493
